financial_year,maker,market_share,month,num_vehicles,Sales_Date,brand_key
2022-23,PURE EV,0.02,Aug,880,01-08-2022,Pure EV
2022-23,PURE EV,0.02,Sep,790,01-09-2022,Pure EV
2022-23,PURE EV,0.02,Oct,1047,01-10-2022,Pure EV
2022-23,PURE EV,0.02,Nov,925,01-11-2022,Pure EV
2022-23,PURE EV,0.02,Dec,780,01-12-2022,Pure EV
2022-23,PURE EV,0.02,Jan,716,01-01-2023,Pure EV
2022-23,PURE EV,0.02,Feb,488,01-02-2023,Pure EV
2022-23,PURE EV,0.02,March,584,01-03-2023,Pure EV
2022-23,BEING INDIA,0.01,Apr,820,01-04-2022,Being India
2022-23,BEING INDIA,0.01,May,792,01-05-2022,Being India
2022-23,BEING INDIA,0.01,Jun,959,01-06-2022,Being India
2022-23,BEING INDIA,0.01,Jul,1167,01-07-2022,Being India
2022-23,BEING INDIA,0.01,Aug,1063,01-08-2022,Being India
2022-23,BEING INDIA,0.01,Sep,976,01-09-2022,Being India
2022-23,BEING INDIA,0.01,Oct,1422,01-10-2022,Being India
2022-23,BEING INDIA,0.01,Nov,1216,01-11-2022,Being India
2022-23,BEING INDIA,0.01,Dec,966,01-12-2022,Being India
2022-23,BEING INDIA,0.01,Jan,571,01-01-2023,Being India
2022-23,BEING INDIA,0.01,Feb,337,01-02-2023,Being India
2022-23,BEING INDIA,0.01,March,444,01-03-2023,Being India
2022-23,JITENDRA NEW EV,0.01,Apr,915,01-04-2022,Jitendra
2022-23,JITENDRA NEW EV,0.01,May,626,01-05-2022,Jitendra
2022-23,JITENDRA NEW EV,0.01,Jun,549,01-06-2022,Jitendra
2022-23,JITENDRA NEW EV,0.01,Jul,847,01-07-2022,Jitendra
2022-23,JITENDRA NEW EV,0.01,Aug,647,01-08-2022,Jitendra
2022-23,JITENDRA NEW EV,0.01,Sep,661,01-09-2022,Jitendra
2022-23,JITENDRA NEW EV,0.01,Oct,1111,01-10-2022,Jitendra
2022-23,JITENDRA NEW EV,0.01,Nov,1255,01-11-2022,Jitendra
2022-23,JITENDRA NEW EV,0.01,Dec,668,01-12-2022,Jitendra
2022-23,JITENDRA NEW EV,0.01,Jan,522,01-01-2023,Jitendra
2022-23,JITENDRA NEW EV,0.01,Feb,308,01-02-2023,Jitendra
2022-23,JITENDRA NEW EV,0.01,March,350,01-03-2023,Jitendra
2022-23,OTHERS,0.08,Apr,5967,01-04-2022,Others
2022-23,OTHERS,0.08,May,4563,01-05-2022,Others
2022-23,OTHERS,0.08,Jun,4278,01-06-2022,Others
2022-23,OTHERS,0.08,Jul,3990,01-07-2022,Others
2022-23,OTHERS,0.08,Aug,2867,01-08-2022,Others
2022-23,OTHERS,0.08,Sep,3019,01-09-2022,Others
2022-23,OTHERS,0.08,Oct,3625,01-10-2022,Others
2022-23,OTHERS,0.08,Nov,5241,01-11-2022,Others
2022-23,OTHERS,0.08,Dec,5233,01-12-2022,Others
2022-23,OTHERS,0.08,Jan,5111,01-01-2023,Others
2022-23,OTHERS,0.08,Feb,5083,01-02-2023,Others
2022-23,OTHERS,0.08,March,7562,01-03-2023,Others
